round,date,win_1_group,win_1_number,win_2_group,win_2_number,2nd_1_1_group,2nd_1_1_number,2nd_1_2_group,2nd_1_2_number,2nd_2_1_group,2nd_2_1_number,2nd_2_2_group,2nd_2_2_number,3rd,4th,5th,6th_1,6th_2,7th_1,7th_2
1,20110706,4,601586,5,530562,4,601585,4,601587,5,530561,5,530563,725668,81227,1900,15,54,3,4
2,20110713,2,375223,2,511555,2,375222,2,375224,2,511554,2,511556,541116,19605,0772,13,53,3,9
3,20110720,1,405842,2,389932,1,405841,1,405843,2,389931,2,389933,503055,00611,6968,11,23,3,4
4,20110727,1,144422,2,835371,1,144421,1,144423,2,835370,2,835372,314768,03483,0110,08,45,5,8
5,20110803,3,197112,3,208043,3,197111,3,197113,3,208042,3,208044,377346,19584,0789,32,58,0,8
6,20110810,1,317170,3,311618,1,317169,1,317171,3,311617,3,311619,440563,63384,7454,02,74,1,2
7,20110817,3,360049,5,983515,3,360048,3,360050,5,983514,5,983516,988775,58712,5272,55,68,4,8
8,20110824,1,617999,3,550501,1,617998,1,618000,3,550500,3,550502,482851,70928,8098,67,94,0,1
9,20110831,1,250156,3,759177,1,250155,1,250157,3,759176,3,759178,862394,53916,1145,09,62,0,8
10,20110907,3,955088,4,449952,3,955087,3,955089,4,449951,4,449953,276668,58554,4042,10,96,6,7
11,20110914,1,743410,2,449618,1,743409,1,743411,2,449617,2,449619,723282,38469,6770,21,98,1,5
12,20110921,2,247202,5,112245,2,247201,2,247203,5,112244,5,112246,535594,88300,1241,00,16,0,9
13,20110928,2,747608,7,168239,2,747607,2,747609,7,168238,7,168240,142961,17991,3132,49,92,6,8
14,20111005,6,379717,7,804847,6,379716,6,379718,7,804846,7,804848,847767,09496,7908,35,88,6,9
15,20111012,4,325752,5,165864,4,325751,4,325753,5,165863,5,165865,768986,93293,1738,44,63,6,9
16,20111019,2,211799,6,712157,2,211798,2,211800,6,712156,6,712158,504191,24933,5519,19,83,2,7
17,20111026,3,952292,7,879489,3,952291,3,952293,7,879488,7,879490,211287,60958,2738,08,24,0,5
18,20111102,5,298717,6,713274,5,298716,5,298718,6,713273,6,713275,742605,75688,6588,14,58,6,8
19,20111109,4,968742,6,487934,4,968741,4,968743,6,487933,6,487935,318201,36736,7425,73,84,8,9
20,20111116,1,486374,4,645601,1,486373,1,486375,4,645600,4,645602,651001,06060,0284,14,21,2,3
21,20111123,2,511278,6,182853,2,511277,2,511279,6,182852,6,182854,851114,52430,2957,21,81,2,5
22,20111130,6,753227,7,423612,6,753226,6,753228,7,423611,7,423613,803150,43692,1162,80,88,3,6
23,20111207,2,313475,7,296329,2,313474,2,313476,7,296328,7,296330,489836,76936,8868,61,65,4,8
24,20111214,3,833782,7,131662,3,833781,3,833783,7,131661,7,131663,910197,17506,2923,18,21,3,7
25,20111221,6,265951,7,750416,6,265950,6,265952,7,750415,7,750417,554087,07778,0656,11,67,2,6
26,20111228,2,697778,6,785115,2,697777,2,697779,6,785114,6,785116,459983,99499,9919,07,69,1,9
27,20120104,2,202874,4,665049,2,202873,2,202875,4,665048,4,665050,141105,43844,2219,31,82,3,5
28,20120111,4,514226,5,429322,4,514225,4,514227,5,429321,5,429323,316253,68487,6678,25,46,2,4
29,20120118,2,631829,3,263656,2,631828,2,631830,3,263655,3,263657,169124,63614,6016,27,92,2,9
30,20120125,2,291849,4,541402,2,291848,2,291850,4,541401,4,541403,671847,52178,6363,02,29,2,6
31,20120201,1,349128,5,410752,1,349127,1,349129,5,410751,5,410753,930857,83876,2443,72,86,3,5
32,20120208,7,243999,7,732178,7,243998,7,244000,7,732177,7,732179,789336,44965,7331,60,97,1,7
33,20120215,1,504243,6,517797,1,504242,1,504244,6,517796,6,517798,493075,47791,5549,04,68,3,7
34,20120222,1,157909,5,387868,1,157908,1,157910,5,387867,5,387869,923418,14664,9772,68,80,6,9
35,20120229,4,658725,5,865836,4,658724,4,658726,5,865835,5,865837,885806,77004,0858,19,96,1,5
36,20120307,1,316777,7,392431,1,316776,1,316778,7,392430,7,392432,496580,43114,3819,07,37,4,5
37,20120314,2,918867,6,588899,2,918866,2,918868,6,588898,6,588900,396504,67783,7741,15,57,0,9
38,20120321,4,140569,6,977748,4,140568,4,140570,6,977747,6,977749,340835,72944,9749,31,38,1,9
39,20120328,1,681892,3,968290,1,681891,1,681893,3,968289,3,968291,819672,96123,4446,27,86,5,6
40,20120404,1,677612,2,614787,1,677611,1,677613,2,614786,2,614788,552332,17012,6453,33,62,3,5
41,20120411,3,363109,7,600536,3,363108,3,363110,7,600535,7,600537,564666,31893,3949,26,28,3,5
42,20120418,5,151384,6,563640,5,151383,5,151385,6,563639,6,563641,972894,28921,4959,52,84,5,8
43,20120425,7,269120,7,608964,7,269119,7,269121,7,608963,7,608965,527586,40488,4294,75,86,4,9
44,20120502,1,242778,3,804316,1,242777,1,242779,3,804315,3,804317,172875,35340,0952,24,46,1,3
45,20120509,3,373329,5,935207,3,373328,3,373330,5,935206,5,935208,902361,79955,3111,17,60,2,7
46,20120516,1,797448,2,118531,1,797447,1,797449,2,118530,2,118532,801799,39027,4036,61,84,3,7
47,20120523,3,983441,6,987255,3,983440,3,983442,6,987254,6,987256,982179,63949,7993,79,90,2,8
48,20120530,1,174320,1,873477,1,174319,1,174321,1,873476,1,873478,586146,21301,7572,32,91,1,4
49,20120606,5,298625,5,619564,5,298624,5,298626,5,619563,5,619565,682272,40653,2371,58,94,3,4
50,20120613,1,131730,7,258413,1,131729,1,131731,7,258412,7,258414,546780,03782,7508,06,28,4,8
51,20120620,1,269631,6,567329,1,269630,1,269632,6,567328,6,567330,227261,55745,6562,67,68,1,8
52,20120627,2,942270,7,782629,2,942269,2,942271,7,782628,7,782630,374678,17161,0878,63,86,4,9
53,20120704,1,530440,1,564191,1,530439,1,530441,1,564190,1,564192,586106,92573,5455,36,71,0,2
54,20120711,1,785965,3,981498,1,785964,1,785966,3,981497,3,981499,175118,62295,8473,27,60,0,1
55,20120718,2,702248,6,597175,2,702247,2,702249,6,597174,6,597176,865097,86509,0442,05,83,6,7
56,20120725,3,351600,4,710082,3,351599,3,351601,4,710081,4,710083,297082,50197,0967,20,75,0,1
57,20120801,2,886407,6,869809,2,886406,2,886408,6,869808,6,869810,999962,21584,5649,23,86,1,8
58,20120808,4,624854,4,628053,4,624853,4,624855,4,628052,4,628054,445754,33999,0054,39,95,4,7
59,20120815,1,400216,3,751004,1,400215,1,400217,3,751003,3,751005,913851,20108,7474,46,56,6,9
60,20120822,3,493074,5,701408,3,493073,3,493075,5,701407,5,701409,848017,83761,1159,77,98,3,7
61,20120829,2,488661,7,770019,2,488660,2,488662,7,770018,7,770020,316886,34196,1011,53,66,3,8
62,20120905,1,989610,5,651366,1,989609,1,989611,5,651365,5,651367,490409,30100,4475,32,65,4,9
63,20120912,4,218503,4,979959,4,218502,4,218504,4,979958,4,979960,598693,31685,5850,06,20,4,7
64,20120919,3,843855,6,585706,3,843854,3,843856,6,585705,6,585707,143980,93411,4424,73,99,2,6
65,20120926,5,611801,5,922436,5,611800,5,611802,5,922435,5,922437,910739,57459,7280,00,66,4,7
66,20121003,2,913518,6,305164,2,913517,2,913519,6,305163,6,305165,388804,71901,0224,94,96,6,8
67,20121010,4,323747,6,203405,4,323746,4,323748,6,203404,6,203406,550745,79977,0844,32,38,5,7
68,20121017,5,397728,7,815673,5,397727,5,397729,7,815672,7,815674,481456,88786,0995,30,83,7,8
69,20121024,1,833980,5,641344,1,833979,1,833981,5,641343,5,641345,502148,48509,0242,10,76,7,8
70,20121031,5,341646,7,252461,5,341645,5,341647,7,252460,7,252462,591863,41476,0817,08,32,2,9
71,20121107,3,690796,6,738717,3,690795,3,690797,6,738716,6,738718,710613,65448,0626,09,82,2,8
72,20121114,5,904901,6,499705,5,904900,5,904902,6,499704,6,499706,180205,18594,0391,30,35,3,8
73,20121121,4,565722,5,492793,4,565721,4,565723,5,492792,5,492794,177267,95518,0959,35,79,1,8
74,20121128,1,152875,6,313069,1,152874,1,152876,6,313068,6,313070,267301,25083,0907,33,43,3,9
75,20121205,1,991771,3,575826,1,991770,1,991772,3,575825,3,575827,623691,49777,0737,02,42,0,1
76,20121212,5,645504,6,409876,5,645503,5,645505,6,409875,6,409877,880427,09077,0192,05,92,5,9
77,20121219,3,386104,5,823404,3,386103,3,386105,5,823403,5,823405,767128,50193,0280,35,72,5,8
78,20121226,5,356590,7,186843,5,356589,5,356591,7,186842,7,186844,423902,81761,0681,43,93,5,8
79,20130102,4,345997,5,795435,4,345996,4,345998,5,795434,5,795436,287691,74730,0679,37,85,1,8
80,20130109,1,660703,5,443698,1,660702,1,660704,5,443697,5,443699,587053,02658,0535,21,28,2,3
81,20130116,1,702025,2,526008,1,702024,1,702026,2,526007,2,526009,512198,67632,0871,27,68,0,7
82,20130123,2,225269,7,968398,2,225268,2,225270,7,968397,7,968399,510911,06945,0086,18,89,4,6
83,20130130,1,227729,3,902524,1,227728,1,227730,3,902523,3,902525,496830,04972,0269,70,78,0,7
84,20130206,7,718337,7,952591,7,718336,7,718338,7,952590,7,952592,538720,82225,0358,04,13,3,9
85,20130213,6,256596,6,311991,6,256595,6,256597,6,311990,6,311992,669728,71008,0795,24,66,6,7
86,20130220,3,970652,6,990861,3,970651,3,970653,6,990860,6,990862,621270,66656,0853,70,80,3,8
87,20130227,6,213257,6,778955,6,213256,6,213258,6,778954,6,778956,650222,40852,0522,38,79,2,4
88,20130306,2,394401,4,803881,2,394400,2,394402,4,803880,4,803882,526172,75711,0291,19,85,5,8
89,20130313,2,649265,6,558004,2,649264,2,649266,6,558003,6,558005,128770,77519,0256,10,66,1,3
90,20130320,4,834163,7,205614,4,834162,4,834164,7,205613,7,205615,598111,77079,0182,75,91,0,5
91,20130327,3,966084,5,295215,3,966083,3,966085,5,295214,5,295216,347505,61036,0137,18,83,3,6
92,20130403,3,220309,4,759873,3,220308,3,220310,4,759872,4,759874,225757,86494,0154,23,53,7,9
93,20130410,3,406355,4,703698,3,406354,3,406356,4,703697,4,703699,828839,96956,0682,46,99,4,8
94,20130417,2,115306,7,164212,2,115305,2,115307,7,164211,7,164213,982157,42978,0530,55,87,3,9
95,20130424,4,463677,5,701356,4,463676,4,463678,5,701355,5,701357,160051,86725,0823,00,10,2,4
96,20130501,2,891094,6,734427,2,891093,2,891095,6,734426,6,734428,377955,81294,0313,59,62,1,3
97,20130508,2,187708,7,692251,2,187707,2,187709,7,692250,7,692252,645137,10914,0200,31,55,3,8
98,20130515,5,424219,6,343382,5,424218,5,424220,6,343381,6,343383,782507,27852,0128,33,76,6,7
99,20130522,2,610622,7,450306,2,610621,2,610623,7,450305,7,450307,651093,35141,0804,59,84,5,8
100,20130529,2,372550,2,584089,2,372549,2,372551,2,584088,2,584090,993507,87847,0755,27,64,0,9
101,20130605,3,386739,3,601088,3,386738,3,386740,3,601087,3,601089,812028,14436,0375,54,72,1,2
102,20130612,3,887566,7,169853,3,887565,3,887567,7,169852,7,169854,725323,68233,0654,07,64,2,6
103,20130619,3,501499,3,582377,3,501498,3,501500,3,582376,3,582378,970880,31530,0055,84,86,2,3
104,20130626,4,155232,6,229331,4,155231,4,155233,6,229330,6,229332,353457,18338,0296,50,99,5,9
105,20130703,2,860489,2,893255,2,860488,2,860490,2,893254,2,893256,660106,07091,0997,42,74,0,1
106,20130710,1,609211,2,303666,1,609210,1,609212,2,303665,2,303667,675258,82585,0625,04,79,2,8
107,20130717,4,302030,5,575093,4,302029,4,302031,5,575092,5,575094,231088,63810,0402,46,78,5,7
108,20130724,2,931745,7,314966,2,931744,2,931746,7,314965,7,314967,653678,10535,0847,16,25,1,5
109,20130731,3,220734,5,606022,3,220733,3,220735,5,606021,5,606023,882764,13514,0975,30,40,2,9
110,20130807,2,983550,3,804905,2,983549,2,983551,3,804904,3,804906,525410,46149,0167,55,98,3,9
111,20130814,2,368304,3,905291,2,368303,2,368305,3,905290,3,905292,857183,46400,0217,05,94,6,8
112,20130821,2,817297,7,743182,2,817296,2,817298,7,743181,7,743183,334632,88315,0040,08,98,0,3
113,20130828,1,478766,3,738950,1,478765,1,478767,3,738949,3,738951,326719,75674,0581,41,48,6,8
114,20130904,1,205428,2,670658,1,205427,1,205429,2,670657,2,670659,565084,15937,0470,13,58,2,3
115,20130911,7,124998,7,735470,7,124997,7,124999,7,735469,7,735471,344920,57612,0561,46,98,5,8
116,20130918,4,311286,7,928043,4,311285,4,311287,7,928042,7,928044,701796,11107,0102,48,57,2,5
117,20130925,2,482816,2,848054,2,482815,2,482817,2,848053,2,848055,468484,01107,0298,63,95,6,8
118,20131002,5,798979,7,407690,5,798978,5,798980,7,407689,7,407691,976110,57481,0220,25,48,5,6
119,20131009,2,882866,4,855929,2,882865,2,882867,4,855928,4,855930,707301,19782,0783,37,93,2,4
120,20131016,1,388408,5,659913,1,388407,1,388409,5,659912,5,659914,783858,08167,0044,42,97,8,9
121,20131023,4,579207,6,163922,4,579206,4,579208,6,163921,6,163923,414861,38036,0574,50,60,1,9
122,20131030,3,114978,6,739686,3,114977,3,114979,6,739685,6,739687,156786,76592,0228,61,85,0,9
123,20131106,2,316342,4,819095,2,316341,2,316343,4,819094,4,819096,577360,03979,0071,45,91,3,4
124,20131113,4,457513,5,485544,4,457512,4,457514,5,485543,5,485545,728675,81726,0090,41,63,8,9
125,20131120,4,804482,5,854361,4,804481,4,804483,5,854360,5,854362,350693,34696,0575,22,88,7,8
126,20131127,6,390300,7,107137,6,390299,6,390301,7,107136,7,107138,924672,12410,0098,36,66,6,8
127,20131204,3,230969,3,951468,3,230968,3,230970,3,951467,3,951469,630670,81377,0746,16,67,4,8
128,20131211,3,157534,4,671467,3,157533,3,157535,4,671466,4,671468,856835,11070,0572,80,83,6,9
129,20131218,5,100653,5,211338,5,100652,5,100654,5,211337,5,211339,309634,55686,0850,00,13,1,9
130,20131225,1,111834,5,975017,1,111833,1,111835,5,975016,5,975018,847092,12067,0863,10,46,6,8
131,20140101,4,968020,7,287940,4,968019,4,968021,7,287939,7,287941,371837,44289,0419,03,37,0,2
132,20140108,6,963416,7,232432,6,963415,6,963417,7,232431,7,232433,216455,41053,0137,68,90,3,4
133,20140115,1,437317,2,213295,1,437316,1,437318,2,213294,2,213296,550207,93673,0527,05,95,3,9
134,20140122,1,217634,1,354545,1,217633,1,217635,1,354544,1,354546,713668,36602,0646,82,83,2,9
135,20140129,4,367589,5,514099,4,367588,4,367590,5,514098,5,514100,949912,71189,0490,50,83,3,8
136,20140205,1,433874,2,712188,1,433873,1,433875,2,712187,2,712189,258648,58143,0082,03,32,1,2
137,20140212,4,920207,6,392279,4,920206,4,920208,6,392278,6,392280,308162,21556,0929,31,92,3,7
138,20140219,1,893106,7,322236,1,893105,1,893107,7,322235,7,322237,100632,79563,0282,12,84,0,8
139,20140226,2,682266,7,878601,2,682265,2,682267,7,878600,7,878602,918372,76342,0282,01,59,7,8
140,20140305,1,994097,2,732864,1,994096,1,994098,2,732863,2,732865,166119,11058,0887,51,87,0,4
141,20140312,3,524718,7,741395,3,524717,3,524719,7,741394,7,741396,364568,33619,0437,38,77,2,3
142,20140319,1,929206,4,135781,1,929205,1,929207,4,135780,4,135782,804510,38226,0035,66,94,6,7
143,20140326,1,336815,6,364784,1,336814,1,336816,6,364783,6,364785,350201,39352,0946,57,76,1,5
144,20140402,4,496178,7,581601,4,496177,4,496179,7,581600,7,581602,197227,43255,0062,20,81,1,7
145,20140409,5,975153,7,457556,5,975152,5,975154,7,457555,7,457557,936647,60474,0404,21,23,3,7
146,20140416,5,937990,7,430502,5,937989,5,937991,7,430501,7,430503,722073,91313,0975,15,30,4,7
147,20140423,5,483961,6,432239,5,483960,5,483962,6,432238,6,432240,374102,44364,0292,34,85,6,9
148,20140430,3,179724,5,173887,3,179723,3,179725,5,173886,5,173888,621906,24690,0930,29,79,1,4
149,20140507,5,625225,7,352492,5,625224,5,625226,7,352491,7,352493,806753,20616,0123,13,62,3,4
150,20140514,2,509592,5,182083,2,509591,2,509593,5,182082,5,182084,300168,46170,0233,51,79,4,8
151,20140521,4,649920,5,496077,4,649919,4,649921,5,496076,5,496078,198847,85226,0137,60,86,5,9
152,20140528,2,780821,4,222023,2,780820,2,780822,4,222022,4,222024,796359,45406,0543,81,98,2,7
153,20140604,1,466866,4,476110,1,466865,1,466867,4,476109,4,476111,182678,25667,0801,10,49,6,7
154,20140611,4,555868,5,959493,4,555867,4,555869,5,959492,5,959494,221652,55210,0733,12,75,3,6
155,20140618,1,128465,6,932597,1,128464,1,128466,6,932596,6,932598,873858,88615,0138,32,83,0,9
156,20140625,2,196123,5,608164,2,196122,2,196124,5,608163,5,608165,465634,94735,0491,10,79,7,9
157,20140702,3,762624,4,744832,3,762623,3,762625,4,744831,4,744833,860170,54718,0222,71,86,3,8
158,20140709,7,688106,7,763835,7,688105,7,688107,7,763834,7,763836,277477,62705,0363,09,12,4,9
159,20140716,2,778379,6,201640,2,778378,2,778380,6,201639,6,201641,476244,23625,0975,02,87,1,7
160,20140723,3,672663,4,463570,3,672662,3,672664,4,463569,4,463571,217492,32883,0962,49,52,4,5
161,20140730,3,296762,4,689486,3,296761,3,296763,4,689485,4,689487,886789,54303,0926,23,87,1,5
162,20140806,4,755276,7,735692,4,755275,4,755277,7,735691,7,735693,368553,29511,0712,53,66,1,2
163,20140813,3,498596,5,347668,3,498595,3,498597,5,347667,5,347669,907719,96313,0342,18,92,1,3
164,20140820,6,863222,7,221647,6,863221,6,863223,7,221646,7,221648,279031,63544,0005,17,44,5,8
165,20140827,4,497746,5,107252,4,497745,4,497747,5,107251,5,107253,201332,54025,0829,65,67,4,9
166,20140903,3,353919,4,721082,3,353918,3,353920,4,721081,4,721083,833160,33639,0554,70,96,4,8
167,20140910,5,788836,7,587088,5,788835,5,788837,7,587087,7,587089,800551,35396,0442,39,49,2,4
168,20140917,3,739364,5,404786,3,739363,3,739365,5,404785,5,404787,272886,60195,0492,16,43,0,1
169,20140924,1,503881,4,150926,1,503880,1,503882,4,150925,4,150927,679927,47437,0361,88,92,1,3
170,20141001,2,277688,3,922990,2,277687,2,277689,3,922989,3,922991,559747,55266,0928,25,98,1,7
171,20141008,2,308077,7,937488,2,308076,2,308078,7,937487,7,937489,638223,70380,0347,32,71,4,5
172,20141015,2,775795,4,585537,2,775794,2,775796,4,585536,4,585538,491296,21818,0622,19,83,4,5
173,20141022,4,500602,6,282433,4,500601,4,500603,6,282432,6,282434,499254,33144,0390,23,28,0,6
174,20141029,3,321006,7,479123,3,321005,3,321007,7,479122,7,479124,617314,49411,0830,81,88,1,3
175,20141105,5,287855,7,919507,5,287854,5,287856,7,919506,7,919508,703683,04778,0299,72,93,3,6
176,20141112,1,462771,4,478839,1,462770,1,462772,4,478838,4,478840,638281,36589,0987,51,94,4,7
177,20141119,4,465269,5,925568,4,465268,4,465270,5,925567,5,925569,686424,16267,0557,05,19,7,8
178,20141126,2,566975,7,722718,2,566974,2,566976,7,722717,7,722719,897117,42394,0984,14,99,2,5
179,20141203,3,310358,6,476462,3,310357,3,310359,6,476461,6,476463,433000,77196,0394,63,67,1,4
